date,top_decile_count,retained_count,added_count,dropped_count,retention_rate,turnover_rate
2011-01-03,43,0,43,0,,
2011-01-04,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-01-05,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-01-06,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-01-07,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-01-10,43,39,4,4,0.9069767441860465,0.1702127659574468
2011-01-11,43,42,1,1,0.9767441860465116,0.045454545454545456
2011-01-12,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-01-13,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-01-14,43,38,5,5,0.8837209302325582,0.20833333333333334
2011-01-18,43,39,4,4,0.9069767441860465,0.1702127659574468
2011-01-19,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-01-20,43,39,4,4,0.9069767441860465,0.1702127659574468
2011-01-21,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-01-24,43,39,4,4,0.9069767441860465,0.1702127659574468
2011-01-25,43,39,4,4,0.9069767441860465,0.1702127659574468
2011-01-26,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-01-27,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-01-28,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-01-31,43,43,0,0,1.0,0.0
2011-02-01,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-02-02,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-02-03,43,42,1,1,0.9767441860465116,0.045454545454545456
2011-02-04,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-02-07,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-02-08,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-02-09,43,42,1,1,0.9767441860465116,0.045454545454545456
2011-02-10,43,43,0,0,1.0,0.0
2011-02-11,43,42,1,1,0.9767441860465116,0.045454545454545456
2011-02-14,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-02-15,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-02-16,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-02-17,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-02-18,43,38,5,5,0.8837209302325582,0.20833333333333334
2011-02-22,43,38,5,5,0.8837209302325582,0.20833333333333334
2011-02-23,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-02-24,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-02-25,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-02-28,43,37,6,6,0.8604651162790697,0.24489795918367346
2011-03-01,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-03-02,43,41,2,2,0.9534883720930233,0.08888888888888889
2011-03-03,43,40,3,3,0.9302325581395349,0.13043478260869565
2011-03-04,43,38,5,5,0.8837209302325582,0.20833333333333334
2011-03-07,43,39,4,4,0.9069767441860465,0.1702127659574468
2011-03-08,43,38,5,5,0.8837209302325582,0.20833333333333334
