timestamp,intent_id,client_order_id,symbol,side,quantity,notional,validation_result,broker_mode,reconciliation_state,error_code
2026-08-12T11:18:42.139316+00:00,b64afb4695426c13,CSMXTSM-20260831-AAPL-BUY-001,AAPL,buy,1,,SUBMISSION_BLOCKED_ALP003,DRY_RUN,INTENT_ONLY,
2026-08-12T11:18:42.140618+00:00,04e32fae9443d346,CSMXTSM-20260831-AAPL-SELL-002,AAPL,sell,1,,SUBMISSION_BLOCKED_ALP003,DRY_RUN,INTENT_ONLY,
2026-08-12T11:18:42.141816+00:00,b64afb4695426c13,CSMXTSM-20260831-AAPL-BUY-001,AAPL,buy,1,,REJECTED_DUPLICATE,DRY_RUN,INTENT_ONLY,DUPLICATE_CLIENT_ORDER_ID
2026-08-12T11:18:42.141816+00:00,5a1e46105d20cd1c,CSMXTSM-20260831-AAPL-BUY-010,AAPL,buy,0,,REJECTED_INVALID,DRY_RUN,INTENT_ONLY,INVALID_QUANTITY
2026-08-12T11:18:42.142870+00:00,92d4bbee1cd65888,CSMXTSM-20260831-AAPL-BUY-011,AAPL,buy,-1,,REJECTED_INVALID,DRY_RUN,INTENT_ONLY,INVALID_QUANTITY
2026-08-12T11:18:42.142870+00:00,5c223ba11b16ba9e,CSMXTSM-20260831-AAPL-HOLD-012,AAPL,hold,1,,REJECTED_INVALID,DRY_RUN,INTENT_ONLY,INVALID_SIDE
2026-08-12T11:18:42.143863+00:00,f1a52c3ffc9f6978,CSMXTSM-20260831-ZZZZ_UNKNOWN_TEST_-f65db8920432,ZZZZ_UNKNOWN_TEST_SYMBOL,buy,1,,REJECTED_INVALID,DRY_RUN,INTENT_ONLY,UNKNOWN_ASSET
2026-08-12T11:18:42.143863+00:00,5fde65e176f98941,CSMXTSM-20260831-AAPL-BUY-021,AAPL,buy,1,,REJECTED_INVALID,DRY_RUN,INTENT_ONLY,ASSET_NOT_TRADABLE
2026-08-12T11:18:42.143863+00:00,ae401146c369e50b,CSMXTSM-20260831-AAPL-BUY-022,AAPL,buy,1,,REJECTED_STALE_INTENT,DRY_RUN,INTENT_ONLY,STALE_INTENT
2026-08-12T11:18:42.144928+00:00,c16093257ffe2b5e,CSMXTSM-20260831-AAPL-BUY-023,AAPL,buy,1,,REJECTED_MARKET_SESSION,DRY_RUN,INTENT_ONLY,MARKET_SESSION_NOT_ELIGIBLE
2026-08-14T15:25:25.488244+00:00,b64afb4695426c13,CSMXTSM-20260831-AAPL-BUY-001,AAPL,buy,1,,SUBMISSION_BLOCKED_ALP003,DRY_RUN,INTENT_ONLY,
2026-08-14T15:25:25.489731+00:00,04e32fae9443d346,CSMXTSM-20260831-AAPL-SELL-002,AAPL,sell,1,,SUBMISSION_BLOCKED_ALP003,DRY_RUN,INTENT_ONLY,
2026-08-14T15:25:25.490729+00:00,b64afb4695426c13,CSMXTSM-20260831-AAPL-BUY-001,AAPL,buy,1,,REJECTED_DUPLICATE,DRY_RUN,INTENT_ONLY,DUPLICATE_CLIENT_ORDER_ID
